config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier,label
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2016-01-13,2016-01-19,2016-01-22,profit_target,6,1890.280029296875,1805,1755,1990,2040,693.63,4306.37,449.86,64.86,10.45,1,495.06,0.0,25.22,26.05,0.83,2048.79,2056.05,0.0,0.0,1881.33,-0.4735,4.5115,5.2754,2,1,2016,-2,BEAR,0.0,5,WIN
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2016-01-27,2016-02-02,2016-02-05,profit_target,6,1882.949951171875,1805,1755,1975,2025,649.93,4350.07,463.65,71.34,10.66,1,508.85,-136.19,23.11,21.98,-1.13,2012.51,2047.36,0.0,0.0,1903.03,1.0664,4.1398,4.8886,2,1,2016,-2,BEAR,0.0,14,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2016-06-23,2016-06-24,2016-06-28,stop_loss,1,2113.320068359375,2070,2040,2160,2190,381.97,2618.03,-1594.4,-417.41,-60.9,0,0.0,-1549.2,17.25,25.76,8.51,2080.77,2020.33,1.0,1.0,2037.41,-3.592,2.0499,2.2088,3,6,2016,4,NEUTRAL,1.0,18,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2016-06-27,2016-06-30,2016-07-01,stop_loss,3,2000.5400390625,1935,1905,2075,2105,447.28,2552.72,-1574.04,-351.91,-61.66,0,113.93,-1528.84,23.85,15.63,-8.22,2078.26,2021.05,0.0,0.0,2098.86,4.9147,3.2761,3.722,0,6,2016,-1,CAUTION,0.25,2,LOSS
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2016-09-07,2016-09-09,2016-09-16,stop_loss,2,2186.159912109375,2140,2090,2240,2290,470.67,4529.33,-1590.62,-337.95,-35.12,0,0.0,-1545.42,11.94,17.5,5.56,2159.79,2056.65,1.0,1.0,2127.81,-2.6691,2.1115,2.4628,2,9,2016,4,NEUTRAL,1.0,4,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2016-09-07,2016-09-09,2016-09-12,stop_loss,2,2186.159912109375,2155,2125,2220,2250,292.15,2707.85,-1798.39,-615.57,-66.41,0,78.04,-1753.19,11.94,17.5,5.56,2159.79,2056.65,1.0,1.0,2127.81,-2.6691,1.4253,1.5479,2,9,2016,4,NEUTRAL,1.0,4,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2016-09-08,2016-09-09,2016-09-13,stop_loss,1,2181.300048828125,2150,2120,2220,2250,284.33,2715.67,-1491.7,-524.63,-54.93,0,0.0,-1446.5,12.51,17.5,4.99,2162.69,2057.11,1.0,1.0,2127.81,-2.4522,1.4349,1.7742,3,9,2016,4,NEUTRAL,1.0,5,LOSS
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2018-02-02,2018-02-05,2018-02-05,expiry,3,2762.1298828125,2725,2695,2800,2830,241.8,2758.2,-2760.8,-1141.76,-100.09,0,0.0,0.0,17.31,37.32,20.01,2715.15,2532.41,1.0,1.0,2648.94,-4.0979,1.3442,1.371,4,2,2018,4,NEUTRAL,1.0,13,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2018-02-02,2018-02-05,2018-02-07,stop_loss,3,2762.1298828125,2705,2675,2825,2855,429.2,2570.8,-1707.13,-397.75,-66.4,0,0.0,-1661.93,17.31,37.32,20.01,2715.15,2532.41,1.0,1.0,2648.94,-4.0979,2.0683,2.2761,4,2,2018,4,NEUTRAL,1.0,13,LOSS
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2018-02-14,2018-02-20,2018-02-23,profit_target,6,2698.6298828125,2605,2555,2810,2860,698.52,4301.48,426.48,61.05,9.91,1,471.68,0.0,19.26,20.6,1.34,2721.17,2543.55,0.0,1.0,2716.26,0.6533,3.4695,4.1269,2,2,2018,2,CAUTION,0.25,8,WIN
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2018-02-28,2018-03-05,2018-03-09,profit_target,5,2713.830078125,2615,2565,2825,2875,726.36,4273.64,437.85,60.28,10.25,1,483.05,-303.46,19.85,18.73,-1.12,2736.05,2558.65,0.0,1.0,2720.94,0.262,3.6417,4.0964,2,2,2018,2,NEUTRAL,1.0,6,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2018-03-23,2018-03-26,2018-03-26,expiry,3,2588.260009765625,2540,2510,2640,2670,311.58,2688.42,-1546.03,-496.2,-57.51,0,0.0,0.0,24.87,21.03,-3.84,2742.04,2585.22,0.0,1.0,2658.55,2.7157,1.8646,1.999,4,3,2018,2,NEUTRAL,1.0,12,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2018-03-26,2018-03-29,2018-03-29,expiry,3,2658.550048828125,2590,2560,2735,2765,428.27,2571.73,425.67,99.39,16.55,1,0.0,-293.34,21.03,19.97,-1.06,2739.86,2586.34,0.0,1.0,2640.87,-0.665,2.5785,2.8756,0,3,2018,3,NEUTRAL,1.0,13,WIN
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2018-03-28,2018-04-02,2018-04-02,expiry,5,2605.0,2530,2500,2685,2715,435.56,2564.44,432.96,99.4,16.88,1,86.93,0.0,22.87,23.62,0.75,2732.95,2588.12,0.0,1.0,2581.88,-0.8875,2.8791,3.071,2,3,2018,2,NEUTRAL,1.0,15,WIN
