config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-02-17,2015-02-18,2015-02-20,profit_target,1,2100.340087890625,2055,2025,2150,2180,240.2,2759.8,79.24,32.99,2.87,1,124.44,0.0,15.8,15.45,-0.35,,,,,2099.68,-0.0314,2.1587,2.3644,1,2,2015,0,CAUTION,0.25,19
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-02-20,2015-02-23,2015-02-23,expiry,3,2110.300048828125,2085,2055,2135,2165,126.08,2873.92,123.48,97.94,4.3,1,0.0,0.0,14.3,14.56,0.26,,,,,2109.66,-0.0303,1.1989,1.1704,4,2,2015,0,CAUTION,0.25,22
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-02-23,2015-02-24,2015-02-24,expiry,1,2109.659912109375,2085,2055,2135,2165,136.75,2863.25,134.15,98.1,4.69,1,0.0,0.0,14.56,13.69,-0.87,,,,,2115.48,0.2759,1.1689,1.2011,0,2,2015,0,CAUTION,0.25,23
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-02-23,2015-02-24,2015-02-25,profit_target,1,2109.659912109375,2075,2045,2145,2175,204.78,2795.22,108.24,52.86,3.87,1,153.44,0.0,14.56,13.69,-0.87,,,,,2115.48,0.2759,1.6429,1.6752,0,2,2015,0,CAUTION,0.25,23
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-02-23,2015-02-24,2015-02-26,profit_target,1,2109.659912109375,2070,2040,2155,2185,251.52,2748.48,96.82,38.49,3.52,1,142.02,0.0,14.56,13.69,-0.87,,,,,2115.48,0.2759,1.8799,2.1492,0,2,2015,0,CAUTION,0.25,23
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-02-24,2015-02-26,2015-02-27,profit_target,2,2115.47998046875,2075,2045,2160,2190,198.28,2801.72,133.7,67.43,4.77,1,178.9,0.0,13.69,13.91,0.22,,,,,2110.74,-0.2241,1.9135,2.1045,1,2,2015,0,CAUTION,0.25,24
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-02-27,2015-03-02,2015-03-02,expiry,3,2104.5,2080,2050,2130,2160,85.01,2914.99,82.41,96.94,2.83,1,0.0,0.0,13.34,13.04,-0.3,,,,,2117.39,0.6125,1.1642,1.2117,4,2,2015,0,CAUTION,0.25,27
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-02,2015-03-03,2015-03-03,expiry,1,2117.389892578125,2095,2065,2140,2170,119.49,2880.51,116.89,97.82,4.06,1,0.0,0.0,13.04,13.86,0.82,,,,,2107.78,-0.4539,1.0574,1.0678,0,3,2015,0,CAUTION,0.25,28
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-02,2015-03-04,2015-03-04,expiry,2,2117.389892578125,2085,2055,2150,2180,165.9,2834.1,163.3,98.43,5.76,1,69.64,0.0,13.04,14.23,1.19,,,,,2098.53,-0.8907,1.5297,1.5401,0,3,2015,0,CAUTION,0.25,28
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-02,2015-03-05,2015-03-05,expiry,3,2117.389892578125,2080,2050,2160,2190,199.04,2800.96,196.44,98.69,7.01,1,48.53,0.0,13.04,14.04,1.0,,,,,2101.04,-0.7722,1.7658,2.0124,0,3,2015,0,CAUTION,0.25,28
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-03,2015-03-05,2015-03-06,profit_target,2,2107.780029296875,2070,2040,2150,2180,248.46,2751.54,167.25,67.31,6.08,1,212.45,0.0,13.86,14.04,0.18,,,,,2101.04,-0.3198,1.7924,2.0031,1,3,2015,0,CAUTION,0.25,29
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-06,2015-03-09,2015-03-09,expiry,3,2071.260009765625,2045,2015,2095,2125,155.55,2844.45,152.95,98.33,5.38,1,0.0,0.0,15.2,15.06,-0.14,,,,,2079.43,0.3944,1.2678,1.1462,4,3,2015,0,CAUTION,0.25,32
