date,portfolio_value,daily_return,cumulative_return,rolling_sharpe_30d,drawdown
2020-01-02,100000.0,,0.0,,0.0
2020-01-03,100000.0,0.0,0.0,,0.0
2020-01-06,99999.35,-6.499999999909356e-06,-6.499999999909356e-06,,-6.499999999941792e-06
2020-01-07,100004.05268598866,4.702716556304054e-05,4.052685988664706e-05,,0.0
2020-01-08,100112.18786804432,0.001081307998538783,0.0011218786804432224,,0.0
2020-01-09,100214.08814751566,0.0010178608782944742,0.002140881475156675,,0.0
2020-01-10,100214.08814751566,0.0,0.002140881475156675,,0.0
2020-01-13,100213.43814751566,-6.486113998782628e-06,0.0021343814751566548,,-6.4861139987815656e-06
2020-01-14,100160.22592520212,-0.0005309888902844673,0.0016022592520212875,,-0.000537471560228745
2020-01-15,100173.04983978091,0.00012803400212346716,0.0017304983978090327,,-0.00040950637274014763
2020-01-16,100319.94136081179,0.0014663776461414368,0.003199413608117929,,0.0
2020-01-17,100390.13185593553,0.0006996664289433685,0.0039013185593552713,,0.0
2020-01-21,99950.87995847693,-0.004375448954374805,-0.0004912004152306526,,-0.004375448954374769
2020-01-22,98958.88933871748,-0.009924781254267656,-0.010411106612825294,,-0.014256804834881091
2020-01-23,97861.91051288848,-0.011085197430563687,-0.021380894871115164,,-0.025183962769121153
2020-01-24,100303.5805350873,0.02495015690376534,0.003035805350873,,-0.0008621496879039361
2020-01-27,108121.90527862497,0.07794661667937897,0.08121905278624975,,0.0
2020-01-28,108317.16291708399,0.001805902679534288,0.08317162917083998,,0.0
2020-01-29,108340.9037960969,0.00021917929138415282,0.0834090379609691,,0.0
2020-01-30,108340.9037960969,0.0,0.0834090379609691,,0.0
2020-01-31,108340.9037960969,0.0,0.0834090379609691,,0.0
2020-02-03,108340.2537960969,-5.99958074209983e-06,0.08340253796096908,,-5.999580742076071e-06
2020-02-04,108581.06848331915,0.0022227628123843157,0.08581068483319143,,0.0
2020-02-05,108581.06848331915,0.0,0.08581068483319143,,0.0
2020-02-06,108581.06848331915,0.0,0.08581068483319143,,0.0
2020-02-07,108581.06848331915,0.0,0.08581068483319143,,0.0
2020-02-10,108580.41848331914,-5.986310588790289e-06,0.08580418483319141,,-5.986310588835179e-06
2020-02-11,108595.84646464513,0.00014208806285243014,0.0859584646464513,,0.0
2020-02-12,108743.96727494687,0.0013639638634794782,0.08743967274946884,,0.0
2020-02-13,108736.57137893501,-6.801201204253982e-05,0.08736571378935021,,-6.801201204258011e-05
2020-02-14,108787.25997133064,0.0004661595611561431,0.0878725997133063,3.048082492968835,0.0
2020-02-18,107940.68068814915,-0.007781970824567108,0.07940680688149149,2.7558413362643654,-0.007781970824567093
2020-02-19,105550.08949596515,-0.02214726808227796,0.05550089495965138,1.9095534537845493,-0.02975688951278489
