date,action,symbol,strike,premium,contracts,dte,premium_received,commission,delta,close_cost,profit_pct,cost,qqq_delta_hedged,proceeds,pnl,shares
2020-01-06,SELL_PUT,QQQ,211.28634267441143,4.036016901988205,1.0,14.0,403.6016901988205,0.65,-0.3,,,,,,,
2020-01-09,CLOSE_PUT,QQQ,211.28634267441143,,1.0,,,0.65,,188.21354268316318,0.5336651276399603,,,,,
2020-01-13,SELL_PUT,QQQ,216.56951787951206,4.13693674448276,1.0,14.0,413.69367444827606,0.65,-0.3,,,,,,,
2020-01-17,BUY_SQQQ_CALL,SQQQ,1996.3819580078125,99.5328890531417,1.0,30.0,,0.65,,,,9953.28890531417,54.416598741507336,,,
2020-01-21,CLOSE_PUT,QQQ,216.56951787951206,,1.0,,,0.65,,199.117777807278,0.5186830495466673,,,,,
2020-01-27,SELL_SQQQ_CALL,SQQQ,1996.3819580078125,,1.0,,,0.65,,,,,,17649.780139782477,7696.491234468307,
2020-01-27,SELL_PUT,QQQ,213.7760111648096,4.083574846247208,1.0,14.0,408.35748462472077,0.65,-0.3,,,,,,,
2020-01-29,CLOSE_PUT,QQQ,213.7760111648096,,1.0,,,0.65,,188.70896715279494,0.5378829230319658,,,,,
2020-02-03,SELL_PUT,QQQ,218.0504166632543,4.2740786570603575,1.0,14.0,427.40786570603575,0.65,-0.3,,,,,,,
2020-02-04,CLOSE_PUT,QQQ,218.0504166632543,,1.0,,,0.65,,185.94317848378702,0.5649514353774768,,,,,
2020-02-10,SELL_PUT,QQQ,227.91424754479442,5.09789769885244,1.0,14.0,509.78976988524397,0.65,-0.3,,,,,,,
2020-02-14,BUY_SQQQ_CALL,SQQQ,1709.2593994140625,96.90784665542311,1.0,30.0,,0.65,,,,9690.78466554231,56.50785614861221,,,
2020-02-18,CLOSE_PUT,QQQ,227.91424754479442,,1.0,,,0.65,,246.2278898136689,0.5170011162266047,,,,,
2020-02-24,SELL_SQQQ_CALL,SQQQ,1709.2593994140625,,1.0,,,0.65,,,,,,32942.265941617894,23251.48127607558,
2020-02-24,SELL_PUT,QQQ,218.95561458185043,6.843637612929829,1.0,14.0,684.3637612929829,0.65,-0.3,,,,,,,
2020-03-02,SELL_PUT,QQQ,216.6031437746048,10.161645207584975,1.0,14.0,1016.1645207584975,0.65,-0.3,,,,,,,
2020-03-10,PUT_ASSIGNED,QQQ,218.95561458185043,,,,,1.0,,,,21895.561458185042,,,,100.0
2020-03-10,SELL_CALL,QQQ,186.4032002185649,17.466730606509852,1.0,30.0,1746.6730606509852,0.65,0.3,,,,,,,
2020-03-16,SELL_PUT,QQQ,178.26858203360607,19.372061821284248,1.0,14.0,1937.2061821284249,0.65,-0.3,,,,,,,
2020-03-17,PUT_ASSIGNED,QQQ,216.6031437746048,,,,,1.0,,,,21660.31437746048,,,,100.0
2020-03-17,SELL_CALL,QQQ,162.3407906186018,23.362960879221614,1.0,30.0,2336.2960879221614,0.65,0.3,,,,,,,
2020-03-23,SELL_PUT,QQQ,180.09086994780566,19.820266953806303,1.0,14.0,1982.0266953806304,0.65,-0.3,,,,,,,
2020-03-24,CLOSE_PUT,QQQ,178.26858203360607,,1.0,,,0.65,,747.4660739015075,0.6141525456623,,,,,
2020-03-26,CLOSE_PUT,QQQ,180.09086994780566,,1.0,,,0.65,,747.8391483709398,0.6226896690574977,,,,,
2020-03-30,SELL_PUT,QQQ,202.89005710523173,22.329477864503488,1.0,14.0,2232.9477864503488,0.65,-0.3,,,,,,,
2020-04-06,SELL_PUT,QQQ,207.58095804935977,22.8457445080786,1.0,14.0,2284.57445080786,0.65,-0.3,,,,,,,
2020-04-09,CALL_ASSIGNED,QQQ,186.4032002185649,,,,,1.0,,,,,,18640.32002185649,,100.0
2020-04-13,SELL_PUT,QQQ,213.0513954016706,21.783326145263377,1.0,14.0,2178.3326145263377,0.65,-0.3,,,,,,,
2020-04-13,PUT_ASSIGNED,QQQ,202.89005710523173,,,,,1.0,,,,20289.00571052317,,,,100.0
2020-04-13,SELL_CALL,QQQ,182.07357065494224,24.548488982397103,1.0,30.0,2454.8488982397103,0.65,0.3,,,,,,,
2020-04-14,CLOSE_PUT,QQQ,207.58095804935977,,1.0,,,0.65,,754.6456004918039,0.6696778254589384,,,,,
2020-04-16,CALL_ASSIGNED,QQQ,162.3407906186018,,,,,1.0,,,,,,16234.07906186018,,100.0
2020-04-17,CLOSE_PUT,QQQ,213.0513954016706,,1.0,,,0.65,,986.0821365963754,0.547322511713487,,,,,
2020-04-20,SELL_PUT,QQQ,217.1320540371425,14.983538726323717,1.0,14.0,1498.3538726323718,0.65,-0.3,,,,,,,
2020-04-27,SELL_PUT,QQQ,217.93919573466778,12.457786373356297,1.0,14.0,1245.7786373356298,0.65,-0.3,,,,,,,
2020-04-29,CLOSE_PUT,QQQ,217.1320540371425,,1.0,,,0.65,,725.761329083588,0.5156275547854796,,,,,
2020-05-04,SELL_PUT,QQQ,217.05943700008532,11.726787074902226,1.0,14.0,1172.6787074902227,0.65,-0.3,,,,,,,
2020-05-07,CLOSE_PUT,QQQ,217.93919573466778,,1.0,,,0.65,,469.10697517268824,0.6234427520960095,,,,,
2020-05-08,BUY_SQQQ_CALL,SQQQ,1106.0296630859375,120.67489298587375,1.0,30.0,,0.65,,,,12067.489298587376,46.24731165345679,,,
2020-05-08,CLOSE_PUT,QQQ,217.05943700008532,,1.0,,,0.65,,419.04440073686055,0.6426605189807675,,,,,
2020-05-11,SELL_SQQQ_CALL,SQQQ,1106.0296630859375,,1.0,,,0.65,,,,,,9933.106999197762,-2134.3822993896138,
2020-05-11,SELL_PUT,QQQ,226.8536944988478,9.744423557868247,1.0,14.0,974.4423557868247,0.65,-0.3,,,,,,,
2020-05-13,CALL_ASSIGNED,QQQ,182.07357065494224,,,,,1.0,,,,,,18207.357065494223,,100.0
2020-05-15,BUY_SQQQ_CALL,SQQQ,1122.66162109375,112.99532312226529,1.0,30.0,,0.65,,,,11299.532312226529,82.99377062220611,,,
2020-05-18,SELL_SQQQ_CALL,SQQQ,1122.66162109375,,1.0,,,0.65,,,,,,7630.423934639154,-3669.108377587375,
2020-05-18,SELL_PUT,QQQ,226.87059921029896,9.035057795047758,1.0,14.0,903.5057795047758,0.65,-0.3,,,,,,,
2020-05-20,CLOSE_PUT,QQQ,226.8536944988478,,1.0,,,0.65,,418.51750806359485,0.5705056275743904,,,,,
2020-05-22,BUY_SQQQ_CALL,SQQQ,1025.9879150390625,86.54578396828693,1.0,30.0,,0.65,,,,8654.578396828692,67.63983538486139,,,
2020-05-29,BUY_SQQQ_CALL,SQQQ,980.2496948242188,70.39490215017398,1.0,30.0,,0.65,,,,7039.4902150173975,57.90754832307571,,,
2020-05-29,CLOSE_PUT,QQQ,226.87059921029896,,1.0,,,0.65,,217.0895731831744,0.7597253076763225,,,,,
2020-06-01,SELL_SQQQ_CALL,SQQQ,1025.9879150390625,,1.0,,,0.65,,,,,,2299.9643657590805,-6354.614031069612,
2020-06-01,SELL_SQQQ_CALL,SQQQ,980.2496948242188,,1.0,,,0.65,,,,,,4683.892666793115,-2355.597548224283,
2020-06-01,SELL_PUT,QQQ,230.53080585965597,5.256005300785885,1.0,14.0,525.6005300785885,0.65,-0.3,,,,,,,
2020-06-05,BUY_SQQQ_CALL,SQQQ,898.1290893554688,54.39992322409856,1.0,30.0,,0.65,,,,5439.992322409856,39.712493244467,,,
2020-06-05,CLOSE_PUT,QQQ,230.53080585965597,,1.0,,,0.65,,195.60674434975235,0.6278414248925797,,,,,
2020-06-08,SELL_SQQQ_CALL,SQQQ,898.1290893554688,,1.0,,,0.65,,,,,,3988.0330527316096,-1451.959269678246,
2020-06-08,SELL_PUT,QQQ,238.01262002987693,5.569196767743967,1.0,14.0,556.9196767743966,0.65,-0.3,,,,,,,
2020-06-10,CLOSE_PUT,QQQ,238.01262002987693,,1.0,,,0.65,,232.02265893127475,0.583382184886843,,,,,
2020-06-15,SELL_PUT,QQQ,236.80763189675162,7.641757699884393,1.0,14.0,764.1757699884394,0.65,-0.3,,,,,,,
2020-06-19,BUY_SQQQ_CALL,SQQQ,831.60107421875,64.81414053535674,1.0,30.0,,0.65,,,,6481.414053535675,50.148940438967735,,,
2020-06-19,CLOSE_PUT,QQQ,236.80763189675162,,1.0,,,0.65,,360.2343934018802,0.5285974672982239,,,,,
2020-06-22,SELL_SQQQ_CALL,SQQQ,831.60107421875,,1.0,,,0.65,,,,,,4737.035149411495,-1744.3789041241798,
2020-06-22,SELL_PUT,QQQ,244.82392782588965,7.453684657290355,1.0,14.0,745.3684657290355,0.65,-0.3,,,,,,,
2020-06-26,BUY_SQQQ_CALL,SQQQ,862.7860717773438,76.93351385763812,1.0,30.0,,0.65,,,,7693.351385763812,87.0625022360985,,,
2020-06-29,SELL_SQQQ_CALL,SQQQ,862.7860717773438,,1.0,,,0.65,,,,,,5997.338493598027,-1696.0128921657852,
2020-06-29,SELL_PUT,QQQ,241.76359705984723,8.441644938060172,1.0,14.0,844.1644938060172,0.65,-0.3,,,,,,,
2020-07-01,CLOSE_PUT,QQQ,241.76359705984723,,1.0,,,0.65,,405.3546557693391,0.5198155587642062,,,,,
2020-07-02,CLOSE_PUT,QQQ,244.82392782588965,,1.0,,,0.65,,279.8711747813235,0.6245197004576991,,,,,
2020-07-06,SELL_PUT,QQQ,257.52989238133733,9.37030762706349,1.0,14.0,937.0307627063489,0.65,-0.3,,,,,,,
2020-07-10,BUY_SQQQ_CALL,SQQQ,642.4119262695312,41.60361902216117,1.0,30.0,,0.65,,,,4160.3619022161165,56.12879294368046,,,
2020-07-10,CLOSE_PUT,QQQ,257.52989238133733,,1.0,,,0.65,,391.7668180579862,0.5819061298196034,,,,,
2020-07-13,SELL_SQQQ_CALL,SQQQ,642.4119262695312,,1.0,,,0.65,,,,,,6808.296637476458,2647.9347352603418,
2020-07-13,SELL_PUT,QQQ,256.1256799740645,7.252137732465393,1.0,14.0,725.2137732465393,0.65,-0.3,,,,,,,
2020-07-17,BUY_SQQQ_CALL,SQQQ,676.7154541015625,48.445182224456154,1.0,30.0,,0.65,,,,4844.518222445616,68.59560112848963,,,
2020-07-20,SELL_SQQQ_CALL,SQQQ,676.7154541015625,,1.0,,,0.65,,,,,,2386.827606542456,-2457.6906159031596,
2020-07-20,SELL_PUT,QQQ,264.6769145050636,8.015977271715204,1.0,14.0,801.5977271715204,0.65,-0.3,,,,,,,
2020-07-20,CLOSE_PUT,QQQ,256.1256799740645,,1.0,,,0.65,,202.14166133951926,0.7212661027732571,,,,,
2020-07-24,BUY_SQQQ_CALL,SQQQ,698.544921875,58.485892479627914,1.0,30.0,,0.65,,,,5848.589247962791,94.74088192277515,,,
2020-07-27,SELL_SQQQ_CALL,SQQQ,698.544921875,,1.0,,,0.65,,,,,,3377.2732608637248,-2471.315987099066,
2020-07-27,SELL_PUT,QQQ,258.0794868312598,7.829768725726536,1.0,14.0,782.9768725726536,0.65,-0.3,,,,,,,
2020-07-31,BUY_SQQQ_CALL,SQQQ,616.42431640625,49.32196348286367,1.0,30.0,,0.65,,,,4932.1963482863675,139.2042127371838,,,
2020-08-03,SELL_SQQQ_CALL,SQQQ,616.42431640625,,1.0,,,0.65,,,,,,3278.5108262035337,-1653.6855220828338,
