date,nav,signals,trades,status,daily_return,peak,drawdown
2024-01-08,100000.0,4,0,completed,,100000.0,0.0
2024-01-09,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-10,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-11,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-12,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-15,100000.0,4,0,completed,0.0,100000.0,0.0
2024-01-16,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-17,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-18,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-19,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-22,100000.0,4,0,completed,0.0,100000.0,0.0
2024-01-23,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-24,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-25,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-26,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-29,100000.0,4,0,completed,0.0,100000.0,0.0
2024-01-30,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-31,100000.0,0,0,completed,0.0,100000.0,0.0
