date,nav,signals,trades,status,daily_return,peak,drawdown
2024-06-03,100000.0,0,0,completed,,100000.0,0.0
2024-06-04,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-05,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-06,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-07,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-10,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-11,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-12,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-13,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-14,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-17,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-18,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-19,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-20,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-21,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-24,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-25,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-26,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-27,100000.0,0,0,completed,0.0,100000.0,0.0
2024-06-28,100000.0,0,0,completed,0.0,100000.0,0.0
